8.3 2000
350 200
300 1210 37 37

Coordinates
1            1            1            0
2            1            1          0.2
3            1          0.8            0
4          0.8            1            0
5      0.86357      0.77289      0.12778
6      0.82233            1      0.28333
7      0.69814      0.79804            0
8            1      0.69814      0.20196
9      0.78975      0.80848      0.23833
10            1      0.84355      0.34039
11      0.84355      0.65961            0
12      0.65359            1          0.2
13          0.6            1            0
14            1            1          0.4
15            1          0.6            0
16      0.85408      0.78772      0.41346
17      0.78772      0.58654      0.14592
18      0.85093      0.64162      0.29521
19      0.57693      0.87042       0.2104
20      0.69282          0.6            0
21            1      0.69282          0.4
22      0.90036      0.51843      0.13995
23      0.48889      0.89118     0.059695
24      0.65359            1          0.4
25            1      0.82679          0.5
26      0.82679            1          0.5
27      0.82679          0.5            0
28      0.66526      0.80541      0.37184
29            1       0.5339      0.28366
30       0.5339      0.71634            0
31      0.67191      0.66039      0.28687
32      0.48523            1      0.24314
33       0.6082      0.59136      0.11396
34      0.51434       0.8994      0.33036
35          0.4            1            0
36            1            1          0.6
37            1          0.4            0
38      0.84807      0.49339      0.29298
39      0.41448      0.90425      0.15253
40      0.49809      0.66014      0.16094
41      0.85441      0.61906      0.47995
42      0.51605      0.71758      0.31392
43       0.6697      0.49435      0.25414
44      0.78501      0.39444      0.14907
45      0.85093      0.78501      0.60556
46      0.40099      0.77515      0.20144
47      0.68547      0.77918      0.55139
48      0.69282          0.4            0
49            1      0.69282          0.6
50       0.7013       0.5485      0.41425
51            1      0.34641          0.2
52      0.34641          0.8            0
53      0.61873      0.64544      0.44653
54      0.65359            1          0.6
55            1      0.51962          0.5
56      0.51962          0.5            0
57      0.51829      0.79428      0.47958
58       0.3693       0.9275      0.31909
59      0.48038            1          0.5
60      0.30186            1      0.20196
61      0.29347      0.87104      0.11725
62      0.83541      0.28333            0
63            1      0.83541      0.71667
64      0.82233            1      0.71667
65      0.52942      0.53626      0.33061
66      0.55631      0.40954      0.14751
67      0.87609      0.44294       0.5029
68      0.88633      0.81212       0.7334
69            1      0.34641          0.4
70      0.34641          0.6            0
71      0.69203      0.31564      0.16243
72        0.838      0.25036     0.091021
73      0.36202      0.78433       0.3857
74      0.70984      0.85093      0.70556
75      0.77627      0.32891      0.36736
76      0.30718            1          0.4
77            1          0.2            0
78          0.2            1            0
79            1            1          0.8
80       0.7644      0.63119      0.67805
81      0.43678      0.63279      0.45485
82      0.36282      0.91495      0.49979
83       0.3496      0.58989      0.29557
84      0.25364      0.69818      0.18424
85       0.4425       0.4251      0.20425
86      0.77093      0.46709      0.59828
87      0.21635      0.85398      0.26668
88      0.51604      0.67151       0.6147
89      0.61998      0.42837      0.50318
90            1      0.17767      0.28333
91      0.17767      0.71667            0
92      0.65359            1          0.8
93      0.28299      0.52376      0.13899
94      0.68845      0.18524            0
95            1      0.68845      0.81476
96      0.43783      0.86097      0.65959
97      0.36201      0.75669      0.56617
98            1      0.34641          0.6
99      0.34641          0.4            0
100      0.46699            1      0.71667
101      0.13352      0.82471      0.14304
102      0.78985      0.89483       0.8648
103      0.60739      0.53322      0.65662
104      0.51401      0.24286            0
105            1      0.51401      0.75714
106      0.79416      0.15444      0.23015
107      0.87646      0.26399      0.50869
108      0.75738      0.71971      0.82378
109      0.15645            1      0.34039
110      0.46653      0.26941      0.11198
111      0.63867      0.16911      0.11227
112      0.58095      0.27234      0.36572
113      0.30718            1          0.6
114      0.21942      0.85361      0.45767
115      0.19338      0.70352      0.34135
116      0.45547      0.38121       0.4397
