8.3 2000
350 200
9936 52551 391 391

Coordinates
1            3            3            5
2          2.8            3            5
3            3            3          4.8
4            3          2.8            5
5       2.9142       2.8402       4.8978
6       2.8122       2.8482            5
7       2.8095       2.9056       4.8842
8       2.8856         2.88       4.7636
9       2.8213            3       4.7133
10            3       2.7953       4.7177
11            3       2.6648       4.8671
12       2.6755            3       4.8243
13       2.8034       2.7013       4.8398
14       2.8136       2.6522            5
15            3            3          4.6
16            3          2.6            5
17          2.6            3            5
18       2.8092       2.8507        4.657
19       2.9369       2.6946       4.7083
20       2.6431        2.749            5
21       2.6725       2.8105       4.7744
22       2.5959       2.8539       4.8777
23            3       2.8461       4.5249
24            3        2.582       4.6908
25        2.635            3        4.629
26       2.5121            3        4.809
27         2.74       2.5477       4.9061
28            3       2.4876       4.8622
29       2.7793       2.6788       4.6315
30       2.4727       2.8458            5
31       2.6485       2.6351       4.7796
32       2.8024       2.5539       4.7385
33            3       2.6741        4.541
34       2.6445        2.553            5
35        2.815       2.4562            5
36       2.8171            3       4.4431
37       2.8621       2.7791       4.4689
38       2.5687       2.8586       4.6162
39       2.4836       2.8035       4.7745
40            3            3          4.4
41          2.4            3            5
42            3          2.4            5
43        2.689        2.804       4.5245
44       2.4741       2.6498            5
45       2.3918       2.8789       4.8539
46       2.4799       2.6828       4.8088
47       2.7771       2.6356       4.5195
48       2.8178       2.4035       4.8343
49       2.5456       2.5384       4.8897
50            3       2.7839       4.3787
51       2.7632       2.8831       4.3826
52       2.6652       2.5496       4.6237
53       2.6571       2.4566       4.7764
54            3       2.3873       4.6942
55       2.5409       2.6662       4.5889
56            3       2.4777       4.5264
57       2.4058            3       4.6046
58        2.421       2.7892       4.6391
59       2.2906            3       4.8517
60       2.5125       2.5411       4.7155
61       2.3028        2.791            5
62       2.7782       2.3949         4.66
63            3       2.2799       4.8578
64       2.6459        2.357            5
65       2.3387       2.9066         4.69
66        2.788       2.4695       4.5346
67       2.7275       2.7081       4.3773
68       2.8785       2.7699       4.3058
69       2.5784            3       4.3796
70        2.841       2.5713       4.3974
71            3       2.5885       4.3647
72       2.4755       2.4538            5
73       2.8164       2.2602            5
74       2.3933       2.6166        4.677
75       2.8734       2.2643       4.7366
76       2.3755       2.5364       4.8305
77          2.2            3            5
78            3            3          4.2
79            3          2.2            5
80       2.6665       2.5482       4.4296
81        2.848       2.8937       4.2177
82        2.478        2.797       4.4208
83       2.6997       2.2828       4.7752
84       2.5976       2.2926       4.9127
85       2.4815       2.3937       4.8121
86       2.5646       2.9028       4.3054
87       2.3051       2.5506            5
88        2.705            3       4.2188
89       2.2558       2.6232       4.8865
90            3       2.3041       4.5227
91       2.8574       2.3022       4.5463
92       2.2177       2.7513       4.7775
93            3       2.7195       4.1961
94       2.3816        2.674        4.508
95       2.5306       2.3804        4.641
96       2.5308       2.6118       4.3967
97       2.4561       2.5154       4.5435
98            3        2.193       4.6825
99       2.3825            3       4.3787
100       2.1844            3       4.6781
101       2.1332       2.8434            5
102        2.261            3       4.5114
103            3       2.3932       4.3496
104       2.6689       2.2938       4.5675
105       2.7645       2.4125       4.3667
106        2.831       2.7235       4.1652
107       2.6937       2.5624       4.2806
108       2.3713       2.4391       4.6813
109       2.4769       2.2578            5
110       2.2348       2.7057       4.6053
111       2.6473        2.161            5
112            3       2.1012       4.8543
113       2.1684       2.8659       4.6493
114       2.0952            3       4.8655
115       2.2775       2.8144       4.4697
116       2.5124       2.7392        4.255
117       2.5742       2.2158       4.7356
118       2.1346       2.6474            5
119       2.5736       2.6185       4.2598
120       2.8808       2.4632       4.2407
121       2.7062       2.8437       4.1206
122       2.7857       2.1082       4.7736
123       2.4816            3       4.2097
124       2.3065       2.3546            5
125            3       2.5043       4.1882
126       2.3908       2.8677       4.2815
127       2.8178       2.0642            5
128       2.0786       2.8522       4.7994
129       2.5383       2.3584       4.4638
130       2.7784       2.2543        4.445
131       2.1815       2.5841       4.7252
132       2.4265       2.2387       4.8824
133       2.3066       2.3587       4.8258
134       2.1023       2.6895       4.8451
135       2.2105       2.4611        4.871
136       2.2708       2.5543       4.5444
137       2.6013       2.4424       4.3138
138       2.6604       2.6728       4.1473
139       2.3563       2.6999       4.3328
140       2.8053            3       4.0341
141       2.4061         2.27       4.7077
142       2.8514       2.8309       4.0388
