8.3 2000
350 200
9368 44554 328 328

Coordinates
1            3            3            5
2            3            3       4.7895
3            3       2.7857            5
4       2.7857            3            5
5       2.8018       2.8459            5
6          2.8            3          4.8
7            3          2.8          4.8
8       2.7067       2.9264        4.878
9       2.8275       2.8267       4.7655
10            3       2.7668       4.7018
11       2.8487       2.7331       4.7744
12       2.7669            3       4.6982
13       2.8033       2.6359            5
14       2.6179       2.8493       4.9267
15            3            3       4.5789
16            3       2.5714            5
17       2.5714            3            5
18          2.8            3       4.5882
19            3          2.8       4.5882
20       2.6207       2.7396            5
21       2.5833            3          4.8
22            3       2.5833          4.8
23        2.645       2.8505       4.7196
24            3       2.5441       4.7891
25       2.5445            3       4.7819
26       2.6739       2.6556       4.7885
27       2.8988       2.6637       4.6168
28       2.9099       2.8521       4.4948
29       2.7707       2.8259       4.5401
30       2.8483       2.5481       4.7065
31       2.4488        2.831            5
32        2.511       2.7529       4.8158
33        2.764       2.6329       4.5996
34            3       2.7264       4.4743
35       2.7266            3        4.467
36       2.6222       2.5296            5
37       2.8048       2.4259            5
38            3       2.5444       4.5791
39       2.5447            3       4.5719
40            3            3       4.3684
41            3       2.6122       4.5004
42       2.8229       2.9017       4.3903
43            3       2.3571            5
44       2.3571            3            5
45       2.5613       2.6979       4.6392
46       2.6784        2.468       4.8278
47       2.4616       2.8597       4.6645
48       2.5862       2.8454       4.5194
49          2.8            3       4.3765
50            3          2.8       4.3765
51       2.8594       2.6008       4.4961
52       2.3667            3          4.8
53            3       2.3667          4.8
54       2.4396       2.6333            5
55       2.5642            3       4.4887
56       2.8734       2.3495       4.8227
57       2.6476       2.4967       4.6732
58            3       2.4365       4.5878
59       2.7973       2.4926       4.5572
60       2.3618            3       4.6956
61            3       2.3624       4.6839
62       2.4775       2.5593       4.7644
63       2.3234       2.8424       4.7962
64       2.3682       2.6447       4.8696
65        2.382            3       4.5931
66       2.8774       2.7736       4.3057
67       2.6921       2.7878       4.3493
68       2.3776       2.6899       4.6935
69       2.5851       2.6662       4.4517
70       2.2552       2.7822            5
71       2.6237       2.3196            5
72            3       2.5446       4.3691
73       2.5448            3       4.3619
74            3       2.7266       4.2643
75       2.7408       2.3384       4.6546
76        2.639       2.3212       4.8162
77       2.7268            3        4.257
78       2.4227       2.7454       4.5156
79       2.4411       2.4233            5
80       2.8063       2.2159            5
81       2.7501       2.6063       4.3333
82            3       2.6176       4.2722
83       2.6474       2.4347       4.5176
84       2.8203       2.3858       4.4779
85            3       2.3626       4.4739
86       2.8025       2.2235        4.795
87       2.7636       2.8767       4.2147
88       2.3629            3       4.4668
89            3        2.436       4.3778
90            3            3       4.1579
91       2.5648            3       4.2787
92            3       2.1803       4.7881
93       2.1808            3       4.7816
94       2.4598       2.5392        4.522
95       2.2732       2.8041       4.5912
96            3       2.1429            5
97       2.1429            3            5
98       2.4807       2.8355       4.3378
99          2.8            3       4.1647
100            3          2.8       4.1647
101       2.4558        2.344       4.8432
102       2.3294       2.5147       4.7332
103       2.3826            3       4.3831
104         2.15            3          4.8
105            3         2.15          4.8
106            3       2.2554       4.5438
107       2.2585        2.527            5
108       2.1793       2.6976       4.8475
109       2.3321       2.4157       4.8626
110       2.7442       2.7197       4.1791
111        2.523       2.3163       4.6431
112       2.6126       2.6718        4.245
113        2.195        2.695       4.6837
114       2.5988       2.8278       4.1918
115            3       2.1818       4.5783
116        2.181            3       4.5716
117       2.5569       2.4994       4.3616
118       2.0744       2.8408            5
119       2.4118       2.4036       4.5738
120       2.8119       2.1714       4.5932
121       2.1921            3       4.5047
122        2.648        2.175       4.6925
123       2.4124        2.627       4.3474
124       2.8809       2.8973       4.0589
125            3       2.5449       4.1591
126        2.545            3       4.1519
127       2.0883       2.8162       4.7474
128       2.6234       2.1216        4.875
129       2.4426       2.2133            5
130        2.653       2.2431       4.5134
131       2.6252       2.1096            5
132       2.9206       2.0459       4.8554
133       2.8936       2.4903       4.1797
134            3       2.3629       4.2639
135       2.8553       2.3618       4.2722
136        2.363            3       4.2568
137        2.337       2.3296       4.7359
138       2.6672       2.3431       4.3504
139       2.1988       2.7271       4.4979
140            3       2.7268       4.0543
141       2.2347       2.6452       4.4861
142       2.0237       2.9084       4.8671
143       2.3061       2.8024       4.3217
144       2.7269            3        4.047
145       2.4395        2.865       4.1902
146       2.0759       2.6308            5
147       2.2647       2.5174       4.5268
148       2.5002       2.3361       4.4444
149            3       2.4354       4.1678
150         2.26       2.3171            5
151       2.8078       2.0059            5
152            3       2.6169       4.0622
153            3       2.0728       4.5888
154       2.1012       2.9051       4.5356
155       2.4605       2.1729       4.7559
156       2.3811       2.2068       4.8368
157       2.5654            3       4.0687
158       2.7407       2.0269       4.7904
159       2.1414       2.4658       4.7992
160       2.3832            3       4.1731
161            3       2.1809       4.3687
162       2.6649       2.5545       4.1261
163       2.1811            3       4.3616
164       2.7133       2.4251       4.1834
165       2.5854       2.7203       4.0887
166       2.7034       2.8478       4.0133
167            3       2.2538       4.2733
168       2.4187       2.7166       4.1807
169       2.7737       2.1857       4.3759
170       2.0256            3       4.6066
171            3            3       3.9474
172       2.5279       2.8833       4.0661
173       2.0563       2.5471       4.8836
174            3        1.988       4.7012
175       2.3723        2.448       4.3557
176       1.9873            3       4.6954
177       2.0028       2.6814       4.8415
178       2.7417       2.6813       4.0217
179       2.4814       2.1604       4.5987
180          2.8            3       3.9529
181            3          2.8       3.9529
182       2.1341       2.5134       4.6124
183       2.3741       2.2217       4.6201
184            3       1.9286            5
185       1.9286            3            5
186       2.2011            3       4.2776
187            3       1.9333          4.8
188       1.9333            3          4.8
189       2.2966       2.6688       4.2409
190       2.0601       2.6901       4.5505
191       2.0774       2.4208            5
192       2.1896       2.2746        4.845
193       2.4211       2.5327       4.1822
194       2.5259       2.0335       4.7354
195            3       2.0722       4.3788
196       2.3455       2.1076        4.844
197       2.2125       2.3569       4.5331
198        2.398       2.0659       4.8648
199       2.5274       2.3457       4.2201
200            3       2.0004       4.4733
201       2.8753       2.1461        4.266
202       1.9992            3       4.4665
203       2.8259       1.8844       4.8863
204       1.8933       2.7345            5
205       2.8507       2.3225       4.0976
206       2.5561       2.1873       4.3371
207       2.4294       2.6182         4.09
208            3       2.3631       4.0539
209       2.4441       2.0033            5
210       1.9442       2.6884        4.698
211       2.7749       2.4745       4.0087
212            3       2.5451       3.9491
213       2.3632            3       4.0468
214       1.9303       2.8571       4.6081
215       2.3223       2.1221       4.6966
216       1.9906       2.5125       4.7397
217       2.5451            3       3.9419
218       2.0729       2.6985       4.3851
219       2.3978       2.0669       4.6854
220       2.8436       1.8957       4.6958
221       2.2585       2.7931       4.1355
222       2.2615       2.1071            5
223       2.0189            3       4.3821
224       2.6267       1.8996            5
225       2.8867       2.0313       4.3653
226        2.198       2.2094       4.6948
227       2.1833        2.445       4.3728
228       1.8505        2.847       4.8433
229       2.6801       1.9446       4.6084
230       2.6855       2.2317       4.1741
231       2.0188       2.3733       4.8695
232            3       2.1811       4.1587
233       2.7079       2.0147       4.4322
234       2.1812            3       4.1516
235        2.072       2.3363       4.7023
236       2.3595       2.2573       4.3407
237            3       2.4348       3.9578
238            3       2.7271       3.8443
239       2.5619       2.7732       3.9192
240       2.4209       2.7348       3.9913
241        2.727            3        3.837
242            3       2.2532       4.0633
243       1.8192            3       4.7924
244       2.0864        2.489       4.4144
245            3       1.8184       4.7886
246       2.4899       1.9154       4.9027
247       1.8948       2.5245            5
248       2.8842        2.795       3.8171
249       2.3839            3       3.9631
250       1.8739       2.5956       4.8433
251            3       1.8977       4.5019
252            3       2.6163       3.8523
253       2.0789       2.2108            5
254        2.113        2.747        4.204
255       2.6752       1.8475       4.7737
256       2.8093       1.7959            5
257       2.5661            3       3.8587
258       2.4297       2.4289       4.0798
259       2.0314        2.419       4.5213
260       2.2882       2.8727       4.0083
261       2.2017            3       4.0676
262       2.6983       2.8398       3.8207
263       2.2557       2.1371       4.5407
264       2.8306       1.8866       4.5048
265       2.5371        2.596       3.9281
266       2.7389       2.6324        3.849
267        2.272       2.4914        4.134
268       2.7377       2.0494        4.246
269            3       2.0001       4.2633
270            3       2.0717       4.1688
271       1.9993            3       4.2565
272       2.3873       2.0737       4.4312
273       2.1653       2.0901       4.8114
274        2.673       2.3063       4.0138
275       2.4612       2.2121       4.1911
276       1.9141       2.8316       4.4012
277       1.8335            3       4.5461
278            3       1.8185       4.5786
279       1.8172            3       4.5714
280       2.3118       1.9649       4.7999
281            3            3       3.7368
282       2.1745       2.2526       4.3961
283         2.43       2.8849       3.8725
284       2.4849       1.9538          4.5
285       1.8569       2.6993       4.5277
286       1.9173       2.5175       4.5342
287          2.8            3       3.7412
288            3          2.8       3.7412
289       2.0568       2.5685       4.2452
